customer_id,ano_mes,valor_fatura,valor_pago,dias_atraso,foi_pago
1,2023-02,"79,9",79.9,0,True
1,2023-03,79.9,79.9,5,True
1,2023-04,79.9,79.9,0,True
1,2023-05,79.9,79.9,0,True
1,2023-06,79.9,79.9,0,True
1,2023-07,79.9,79.9,15,True
1,2023-08,79.9,79.9,0,True
1,2023-09,79.9,79.9,0,True
1,2023-10,79.9,79.9,0,True
1,2023-11,79.9,79.9,5,True
1,2023-12,79.9,79.9,0,True
1,2024-01,79.9,79.9,0,True
1,2024-02,79.9,79.9,5,True
1,2024-03,79.9,79.9,0,True
1,2024-04,79.9,79.9,0,True
1,2024-05,79.9,79.9,0,True
1,2024-06,79.9,79.9,15,True
1,2024-07,79.9,60.69,5,True
1,2024-08,79.9,53.84,15,True
1,2024-09,79.9,79.9,0,True
1,2024-10,79.9,79.9,0,True
1,2024-11,79.9,79.9,0,True
1,2024-12,79.9,79.9,0,True
2,2023-06,49.9,49.9,0,True
2,2023-07,49.9,49.9,0,True
2,2023-08,42.59,42.59,0,True
2,2023-09,49.9,49.9,0,True
2,2023-10,49.9,49.9,0,True
2,2023-11,49.9,49.9,0,True
2,2023-12,49.9,49.9,5,True
2,2024-01,49.9,0.0,5,False
2,2024-02,49.9,49.9,5,True
3,2023-01,49.9,49.9,0,True
3,2023-02,49.9,49.9,0,True
3,2023-03,49.9,49.9,0,True
3,2023-04,49.9,"49,9",0,True
3,2023-05,49.9,49.9,0,True
3,2023-06,49.9,49.9,5,True
3,2023-07,49.9,49.9,0,True
3,2023-08,49.9,49.9,0,True
3,2023-09,49.9,49.9,0,True
3,2023-10,49.9,49.9,0,True
3,2023-11,49.9,49.9,5,True
3,2023-12,49.9,49.9,0,True
3,2024-01,49.9,49.9,0,True
3,2024-02,49.9,49.9,0,True
3,2024-03,49.9,49.9,5,True
3,2024-04,49.9,31.28,0,True
3,2024-05,49.9,49.9,0,True
3,2024-06,49.9,49.9,0,True
3,2024-07,49.9,49.9,0,True
3,2024-08,49.9,49.9,10,True
3,2024-09,49.9,"49,9",0,True
3,2024-10,49.9,49.9,0,True
3,2024-11,49.9,49.9,5,True
3,2024-12,49.9,49.9,0,True
4,2024-02,79.9,79.9,0,True
4,2024-03,79.9,0.0,0,False
4,2024-04,79.9,79.9,0,True
4,2024-05,79.9,79.9,0,True
4,2024-06,79.9,79.9,0,True
4,2024-07,79.9,79.9,0,True
4,2024-08,79.9,79.9,0,True
4,2024-09,79.9,79.9,0,True
4,2024-10,79.9,79.9,0,True
4,2024-11,79.9,79.9,10,True
4,2024-12,74.0,74.0,0,True
6,2023-01,109.9,109.9,0,True
6,2023-02,109.9,109.9,0,True
6,2023-03,109.9,109.9,0,True
6,2023-04,109.9,109.9,0,True
6,2023-05,109.9,109.9,0,True
6,2023-06,109.9,109.9,5,True
6,2023-07,109.9,109.9,0,True
6,2023-08,109.9,109.9,0,True
7,2023-04,159.9,159.9,0,True
7,2023-05,159.9,159.9,0,True
7,2023-06,147.98,147.98,0,True
7,2023-07,143.48,143.48,5,True
7,2023-08,159.9,159.9,0,True
7,2023-09,145.36,145.36,0,True
7,2023-10,159.9,129.54,0,True
7,2023-11,159.9,159.9,0,True
7,2023-12,159.9,159.9,10,True
7,2024-01,159.9,159.9,0,True
7,2024-02,159.9,159.9,0,True
7,2024-03,159.9,159.9,0,True
7,2024-04,159.9,159.9,0,True
7,2024-05,159.9,159.9,0,True
7,2024-06,159.9,84.3,0,True
7,2024-07,159.9,159.9,0,True
7,2024-08,159.9,159.9,0,True
7,2024-09,159.9,159.9,5,True
7,2024-10,159.9,"159,9",0,True
7,2024-11,159.9,159.9,0,True
7,2024-12,159.9,159.9,0,True
8,2023-07,79.9,79.9,0,True
8,2023-08,79.9,0.0,0,False
8,2023-09,72.18,72.18,0,True
8,2023-10,79.9,79.9,5,True
8,2023-11,79.9,79.9,0,True
8,2023-12,79.9,0.0,0,False
8,2024-01,79.9,0.0,0,False
8,2024-02,"79,9",79.9,0,True
8,2024-03,79.9,79.9,0,True
8,2024-04,79.9,79.9,15,True
8,2024-05,79.9,79.9,0,True
8,2024-06,79.9,79.9,10,True
8,2024-07,74.95,74.95,0,True
8,2024-08,79.9,79.9,0,True
8,2024-09,79.9,79.9,0,True
8,2024-10,79.9,79.9,0,True
8,2024-11,73.43,73.43,15,True
8,2024-12,79.9,79.9,0,True
9,2024-03,79.9,79.9,0,True
9,2024-04,79.9,79.9,10,True
9,2024-05,79.9,"79,9",0,True
9,2024-06,79.9,79.9,15,True
9,2024-07,79.9,79.9,0,True
9,2024-08,"79,9",79.9,0,True
9,2024-09,79.9,79.9,0,True
9,2024-10,79.9,79.9,0,True
9,2024-11,79.9,79.9,0,True
9,2024-12,79.9,79.9,0,True
10,2023-01,"72,93",72.93,0,True
10,2023-02,79.9,79.9,0,True
10,2023-03,79.9,79.9,0,True
10,2023-04,79.9,79.9,0,True
10,2023-05,79.9,79.9,15,True
10,2023-06,79.9,79.9,0,True
10,2023-07,79.9,79.9,0,True
10,2023-08,79.9,79.9,0,True
10,2023-09,79.9,79.9,0,True
10,2023-10,79.9,79.9,0,True
10,2023-11,79.9,79.9,0,True
10,2023-12,79.9,79.9,0,True
10,2024-01,79.9,79.9,0,True
10,2024-02,67.03,67.03,0,True
10,2024-03,79.9,"79,9",10,True
10,2024-04,79.9,79.9,0,True
10,2024-05,65.35,65.35,0,True
10,2024-06,79.9,79.9,0,True
10,2024-07,67.02,67.02,0,True
10,2024-08,79.9,79.9,0,True
10,2024-09,79.9,79.9,0,True
10,2024-10,79.9,79.9,5,True
10,2024-11,79.9,79.9,5,True
10,2024-12,79.9,79.9,0,True
11,2023-08,79.9,79.9,0,True
11,2023-09,79.9,79.9,0,True
11,2023-10,79.9,79.9,0,True
11,2023-11,79.9,79.9,5,True
11,2023-12,79.9,79.9,10,True
11,2024-01,79.9,79.9,0,True
11,2024-02,69.84,69.84,0,True
11,2024-03,79.9,79.9,5,True
11,2024-04,79.9,79.9,0,True
11,2024-05,79.9,79.9,0,True
11,2024-06,64.66,64.66,0,True
11,2024-07,70.96,70.96,0,True
11,2024-08,79.9,79.9,0,True
11,2024-09,74.89,74.89,5,True
11,2024-10,79.9,79.9,15,True
11,2024-11,79.9,79.9,0,True
11,2024-12,79.9,79.9,0,True
12,2023-01,49.9,49.9,0,True
12,2023-02,49.9,49.9,0,True
12,2023-03,39.97,39.97,0,True
12,2023-04,49.9,49.9,0,True
12,2023-05,49.9,49.9,0,True
12,2023-06,49.9,41.92,0,True
12,2023-07,"44,21",44.21,0,True
12,2023-08,49.9,49.9,0,True
12,2023-09,49.9,49.9,0,True
12,2023-10,49.9,49.9,0,True
12,2023-11,49.9,49.9,10,True
12,2023-12,49.9,49.9,0,True
12,2024-01,49.9,49.9,10,True
12,2024-02,43.89,0.0,0,False
12,2024-03,46.76,46.76,0,True
12,2024-04,49.9,49.9,0,True
12,2024-05,49.9,49.9,0,True
12,2024-06,49.9,49.9,0,True
12,2024-07,49.9,0.0,0,False
12,2024-08,49.9,"49,9",0,True
12,2024-09,49.9,44.6,0,True
12,2024-10,49.9,49.9,0,True
12,2024-11,49.9,49.9,5,True
12,2024-12,"49,9",49.9,5,True
13,2023-03,49.9,41.43,0,True
13,2023-04,49.9,49.9,0,True
13,2023-05,49.9,49.9,0,True
